PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
25.97265,26.20447,1.008925543,2379.75,0.76662,1.787338809,5.08E+00,56,40,4,0,0,0,0,-2.60143,-2.81139
21.23186,21.48053,1.011712116,2260.29,0.773,1.69902059,4.93E+00,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,-2.80441,-2.77244
23.07162,23.97144,1.039001162,5034.96,0.85508,2.962198265,1.25E+01,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,-3.58613,-3.54923
10.6711,11.55953,1.083255709,1045.28,0.57244,0.679448361,1.39E+01,54.54545455,39.39393939,6.060606061,0,0,0,0,-4.31054,-4.3578
18.67205,18.83659,1.008812102,1507.46,0.65308,0.90734036,6.86E+00,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,-3.01221,-3.08772
8.40705,8.94082,1.063490761,993.066,0.5077,0.498023405,9.37E+00,57.14285714,28.57142857,14.28571429,0,0,0,0,-3.00066,-3.01328
10.55911,10.99477,1.041259159,1241.18,0.55678,0.615227199,7.46E+00,60,30,10,0,0,0,0,-3.1248,-3.17834
6.02452,6.73972,1.118714852,1007.55,0.52324,0.507084294,1.21E+01,50,25,25,0,0,0,0,-3.19322,-3.23575
21.99696,22.25586,1.011769808,1733.44,0.72906,1.193368755,6.61E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-2.9021,-2.99662
14.85314,15.16267,1.020839365,1485.39,0.64318,0.815418378,7.11E+00,50,25,8.333333333,16.66666667,0,0,0,-2.87649,-3.03439
15.82205,16.14031,1.020114966,1634.8,0.66114,0.936903488,6.43E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.89786,-3.07616
19.03653,19.28003,1.012791197,1547.81,0.69218,1.002070214,7.33E+00,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,-2.84908,-2.83361
21.82001,22.09147,1.012440874,1891.18,0.73434,1.317397927,5.85E+00,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,-2.88526,-3.01412
21.37753,30.82847,1.442096912,6958.99,0.93212,6.936294025,2.66E+00,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,-2.64772,-2.80752
27.50721,27.70127,1.007054878,1782.77,0.74908,1.424027953,5.15E+00,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,-2.79491,-2.80663
30.33059,30.47384,1.004722955,1932.9,0.78676,1.672306489,6.91E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.62716,-2.85929
28.94654,29.02379,1.002668713,2148.74,0.78628,1.856702292,4.07E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.94904,-3.13342
29.44973,29.61979,1.005774586,2207.3,0.78594,1.877606991,4.20E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.64449,-2.80029
19.00554,19.13609,1.00686905,1806.59,0.71216,1.202402238,6.18E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-2.91773,-2.9956
17.50947,17.74285,1.013328787,1762.18,0.70666,1.103540681,7.10E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-2.91018,-3.03654
17.39891,18.46813,1.061453275,4307.16,0.82422,2.346914659,1.25E+01,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,-3.64732,-3.67985
